English
Spanish
French
German
Chinese (Simplified)
Chinese (Traditional)
Japanese
Korean
Arabic
Russian
Portuguese
Italian
Dutch
Swedish
Norwegian
Danish
Finnish
Polish
Greek
Turkish
Hindi
Bengali
Punjabi
Urdu
Gujarati
Marathi
Tamil
Telugu
Kannada
Malayalam
Sinhala
Thai
Indonesian
Vietnamese
Malay
Tagalog
Burmese
Khmer
Lao
Mongolian
Nepali
Swahili
Afrikaans
Zulu
Xhosa
Sesotho
Somali
Amharic
Oromo
Tigrinya
Fijian
Samoan
Tongan
Maori
Hawaiian
Kurdish
Pashto
Persian
Kazakh
Uzbek
Turkmen
Kyrgyz
Tajik
Tibetan
Swiss German
Hungarian
Romanian
Bulgarian
Czech
Slovak
Slovenian
Croatian
Serbian
Macedonian
Albanian
Moldovan
Lithuanian
Latvian
Estonian
Icelandic
Irish
Welsh
SOMALI [SOM]
MALAGASY [MEX]
"ARABIC, TUNISIAN SPOKEN [AEB]"
RWANDA [RUA]
ZULU [ZUU]
BULGARIAN [BLG]
SWEDISH [SWD]
LOMBARD [LMO]
"OROMO, WEST-CENTRAL [GAZ]"
"PASHTO, SOUTHERN [PBT]"
KAZAKH [KAZ]
ILOCANO [ILO]
TATAR [TTR]
"FULFULDE, NIGERIAN [FUV]"
"ARABIC, SANAANI SPOKEN [AYN]"
UYGHUR [UIG]
HAITIAN CREOLE FRENCH [HAT]
"AZERBAIJANI, NORTH [AZE]"
NAPOLETANO-CALABRESE [NPL]
"KHMER, CENTRAL [KMR]"
"FARSI, EASTERN [PRS]"
AKAN [TWS]
HILIGAYNON [HIL]
KURMANJI [KUR]
SHONA [SHD]
