Financial Analyst
Accountant
Controller
HR Manager
Recruitment Specialist
Marketing Manager
Marketing Coordinator
Graphic Designer
Software Engineer
Network Administrator
Sales Representative
Customer Service Representative
Project Manager
Business Analyst
Operations Manager
Quality Assurance Analyst
Data Scientist
Product Manager
Research Analyst
Legal Counsel
Public Relations Specialist
Training and Development Specialist
Facilities Manager
Supply Chain Analyst
Operations Coordinator
IT Specialist
UI/UX Designer
Data Analyst
Sales Manager
Customer Success Manager
Content Writer
System Administrator
Business Development Manager
Risk Analyst
Compliance Officer
Operations Analyst
Social Media Manager
UX Researcher
Financial Planner
Event Coordinator
Human Resources Assistant
Marketing Analyst
Technical Support Specialist
Operations Supervisor
Data Entry Clerk
Phu My Hung Corporation
Phu Phong Glass Joint Stock Company
Phuoc Sang Films
PJICO
Sabeco Brewery
SAMCO
Sara Vietnam
Savimex
Sendo.vn
S-Fone
Shipbuilding Industry Corporation
Southern Seed
Southern Service Flight Company
Tan Tao Group
THACO
Thế Giới Publishers
TMA Solutions
Tre Publishing House
Trung Nguyên
TVM Comics
Vietcombank
Vietinbank
VietJet Air
Vietnam Air Services Company
Vietnam Airlines
Vietnam Asset Management
Vietnam Bank for Agriculture and Rural Development
Vietnam Electricity
Vietnam Helicopter Corporation
Vietnam Multimedia Corporation
Vietnam Petroleum Institute
Vietnam Posts and Telecommunications Group (VNPT)
Vietnam Railways
Vietnamobile
Vietsovpetro
Viettel
Viglacera Corporation
Vinacafe
Vinacomin
Vinamilk
Vinaphone
Vinare
Vinatex
Vinavico Group
Vinaxuki
VinFast
Vingroup
VNG Corporation
World Auto
