Air Mekong
Airports Corporation of Vietnam
An Giang Coffee
Appota Corporation
Asia Commercial Bank (ACB)
Bank for Investment and Development of Vietnam (BIDV)
Bao Viet Holdings
Bidiphar
Bien Hoa Sugar
Bien Viet Securities
Binh Minh Plastic
Casumina
Central Service Flight Company
Cuulong Fish
Đại Cát Tường
FPT Group
Gmobile
Habeco
Hai Au Paper
Hai Ha Confectionery
Hanoi Beer
Hanoi Radio Television
Hanoimilk
Hanoi Stock Exchange
Highlands Coffee
Hoa Cam Concrete
Hoang Anh Gia Lai Group
Hue Beer
Indochina Airlines
Isuzu Vietnam
Khaisilk
Kim Dong Publishing House
Kinh Do Corporation
LienVietPostBank
Mekong Auto
Mekong Capital
MobiFone
Nafovanny
Northern Vietnam Helicopter Company
Orient Commercial Joint Stock Bank
Pacific Airlines
Petrolimex
Petrolimex Gas
Petrovietnam
PetroVietnam Finance Corporation
PetroVietnam Insurance
Phu My Hung Corporation
Phu Phong Glass Joint Stock Company
Phuoc Sang Films
PJICO
Sabeco Brewery
SAMCO
Sara Vietnam
Savimex
Sendo.vn
S-Fone
Shipbuilding Industry Corporation
Southern Seed
Southern Service Flight Company
Tan Tao Group
THACO
Thế Giới Publishers
TMA Solutions
Tre Publishing House
Trung Nguyên
TVM Comics
Vietcombank
Vietinbank
VietJet Air
Vietnam Air Services Company
Vietnam Airlines
Vietnam Asset Management
Vietnam Bank for Agriculture and Rural Development
Vietnam Electricity
Vietnam Helicopter Corporation
Vietnam Multimedia Corporation
Vietnam Petroleum Institute
Vietnam Posts and Telecommunications Group (VNPT)
Vietnam Railways
Vietnamobile
Vietsovpetro
Viettel
Viglacera Corporation
Vinacafe
Vinacomin
Vinamilk
Vinaphone
Vinare
Vinatex
Vinavico Group
Vinaxuki
VinFast
Vingroup
VNG Corporation
World Auto
